
# TURKISH_SERIES_DATABASE
# Format: ID | Series Name | Season | Episode | URL
# Encoding: UTF-8
------------------------------------------------------------------------------------------------------------------------------------------------------
(The actual content will be copied from FINAL_TURKISH_SERIES_CLEAN.txt by a script to ensure no data loss)
# סדרות מהרשימה האישית שלך בלבד
------------------------------------------------------------------------------------------------------------------------------------------------------
95     | הארגון                         | 2 עונה          | פרק 4           | https://main2x2u.b-cdn.net/Turk/part1/Teskilat.2021.%D7%94%D7%90%D7%A8%D7%92%D7%95%D7%9F/Season02/Teskilat.S02E18.mp4?v=r7f3a9c2#
96     | הארגון                         | 2 עונה          | פרק 5           | https://main2x2u.b-cdn.net/Turk/part1/Teskilat.2021.%D7%94%D7%90%D7%A8%D7%92%D7%95%D7%9F/Season02/Teskilat.S02E19.mp4?v=r7f3a9c2#
97     | הארגון                         | 2 עונה          | פרק 6           | https://main2x2u.b-cdn.net/Turk/part1/Teskilat.2021.%D7%94%D7%90%D7%A8%D7%92%D7%95%D7%9F/Season02/Teskilat.S02E20.mp4?v=r7f3a9c2#
98     | הארגון                         | 2 עונה          | פרק 7           | https://main2x2u.b-cdn.net/Turk/part1/Teskilat.2021.%D7%94%D7%90%D7%A8%D7%92%D7%95%D7%9F/Season02/Teskilat.S02E21.mp4?v=r7f3a9c2#
99     | הארגון                         | 2 עונה          | פרק 8           | https://main2x2u.b-cdn.net/Turk/part1/Teskilat.2021.%D7%94%D7%90%D7%A8%D7%92%D7%95%D7%9F/Season02/Teskilat.S02E22.mp4?v=r7f3a9c2#
100    | הארגון                         | 2 עונה          | פרק 9           | https://main2x2u.b-cdn.net/Turk/part1/Teskilat.2021.%D7%94%D7%90%D7%A8%D7%92%D7%95%D7%9F/Season02/Teskilat.S02E23.mp4?v=r7f3a9c2#
101    | הארגון                         | 2 עונה          | פרק 10          | https://main2x2u.b-cdn.net/Turk/part1/Teskilat.2021.%D7%94%D7%90%D7%A8%D7%92%D7%95%D7%9F/Season02/Teskilat.S02E24.mp4?v=r7f3a9c2#
102    | הארגון                         | 2 עונה          | פרק 11          | https://main2x2u.b-cdn.net/Turk/part1/Teskilat.2021.%D7%94%D7%90%D7%A8%D7%92%D7%95%D7%9F/Season02/Teskilat.S02E25.mp4?v=r7f3a9c2#
103    | הארגון                         | 2 עונה          | פרק 12          | https://main2x2u.b-cdn.net/Turk/part1/Teskilat.2021.%D7%94%D7%90%D7%A8%D7%92%D7%95%D7%9F/Season02/Teskilat.S02E26.mp4?v=r7f3a9c2#
104    | הארגון                         | 2 עונה          | פרק 13          | https://main2x2u.b-cdn.net/Turk/part1/Teskilat.2021.%D7%94%D7%90%D7%A8%D7%92%D7%95%D7%9F/Season02/Teskilat.S02E27.mp4?v=r7f3a9c2#
105    | הארגון                         | 2 עונה          | פרק 14          | https://main2x2u.b-cdn.net/Turk/part1/Teskilat.2021.%D7%94%D7%90%D7%A8%D7%92%D7%95%D7%9F/Season02/Teskilat.S02E28.mp4?v=r7f3a9c2#
106    | הארגון                         | 2 עונה          | פרק 15          | https://main2x2u.b-cdn.net/Turk/part1/Teskilat.2021.%D7%94%D7%90%D7%A8%D7%92%D7%95%D7%9F/Season02/Teskilat.S02E29.mp4?v=r7f3a9c2#
107    | הארגון                         | 2 עונה          | פרק 16          | https://main2x2u.b-cdn.net/Turk/part1/Teskilat.2021.%D7%94%D7%90%D7%A8%D7%92%D7%95%D7%9F/Season02/Teskilat.S02E30.mp4?v=r7f3a9c2#
121    | שני צדדים לאיסטנבול            | 1 עונה          | פרק 1           | https://main2x2u.b-cdn.net/Turk/part1/Alti.Ustu.Istanbul.2026.%D7%A9%D7%A0%D7%99.%D7%A6%D7%93%D7%93%D7%99%D7%9D.%D7%9C%D7%90%D7%99%D7%A1%D7%98%D7%A0%D7%91%D7%95%D7%9C/Season01/Alti.Ustu.Istanbul.S01E01.mp4?v=r7f3a9c2#
122    | שני צדדים לאיסטנבול            | 1 עונה          | פרק 2           | https://main2x2u.b-cdn.net/Turk/part1/Alti.Ustu.Istanbul.2026.%D7%A9%D7%A0%D7%99.%D7%A6%D7%93%D7%93%D7%99%D7%9D.%D7%9C%D7%90%D7%99%D7%A1%D7%98%D7%A0%D7%91%D7%95%D7%9C/Season01/Alti.Ustu.Istanbul.S01E02.mp4?v=r7f3a9c2#
123    | שני צדדים לאיסטנבול            | 1 עונה          | פרק 3           | https://main2x2u.b-cdn.net/Turk/part1/Alti.Ustu.Istanbul.2026.%D7%A9%D7%A0%D7%99.%D7%A6%D7%93%D7%93%D7%99%D7%9D.%D7%9C%D7%90%D7%99%D7%A1%D7%98%D7%A0%D7%91%D7%95%D7%9C/Season01/Alti.Ustu.Istanbul.S01E03.mp4?v=r7f3a9c2#
127    | הקיץ האחרון                    | 1 עונה          | פרק 1           | https://main2x2u.b-cdn.net/Turk/part1/Son.Yaz.2021.הקיץ.האחרון/Son.Yaz.S01E01.mp4?v=r7f3a9c2#
128    | הקיץ האחרון                    | 1 עונה          | פרק 2           | https://main2x2u.b-cdn.net/Turk/part1/Son.Yaz.2021.הקיץ.האחרון/Son.Yaz.S01E02.mp4?v=r7f3a9c2#
129    | הקיץ האחרון                    | 1 עונה          | פרק 3           | https://main2x2u.b-cdn.net/Turk/part1/Son.Yaz.2021.הקיץ.האחרון/Son.Yaz.S01E03.mp4?v=r7f3a9c2#
130    | הקיץ האחרון                    | 1 עונה          | פרק 4           | https://main2x2u.b-cdn.net/Turk/part1/Son.Yaz.2021.הקיץ.האחרון/Son.Yaz.S01E04.mp4?v=r7f3a9c2#
131    | הקיץ האחרון                    | 1 עונה          | פרק 5           | https://main2x2u.b-cdn.net/Turk/part1/Son.Yaz.2021.הקיץ.האחרון/Son.Yaz.S01E05.mp4?v=r7f3a9c2#
132    | הקיץ האחרון                    | 1 עונה          | פרק 6           | https://main2x2u.b-cdn.net/Turk/part1/Son.Yaz.2021.הקיץ.האחרון/Son.Yaz.S01E06.mp4?v=r7f3a9c2#
133    | הקיץ האחרון                    | 1 עונה          | פרק 7           | https://main2x2u.b-cdn.net/Turk/part1/Son.Yaz.2021.הקיץ.האחרון/Son.Yaz.S01E07.mp4?v=r7f3a9c2#
134    | הקיץ האחרון                    | 1 עונה          | פרק 8           | https://main2x2u.b-cdn.net/Turk/part1/Son.Yaz.2021.הקיץ.האחרון/Son.Yaz.S01E08.mp4?v=r7f3a9c2#
135    | הקיץ האחרון                    | 1 עונה          | פרק 9           | https://main2x2u.b-cdn.net/Turk/part1/Son.Yaz.2021.הקיץ.האחרון/Son.Yaz.S01E09.mp4?v=r7f3a9c2#
136    | הקיץ האחרון                    | 1 עונה          | פרק 10          | https://main2x2u.b-cdn.net/Turk/part1/Son.Yaz.2021.הקיץ.האחרון/Son.Yaz.S01E10.mp4?v=r7f3a9c2#
137    | הקיץ האחרון                    | 1 עונה          | פרק 11          | https://main2x2u.b-cdn.net/Turk/part1/Son.Yaz.2021.הקיץ.האחרון/Son.Yaz.S01E11.mp4?v=r7f3a9c2#
138    | הקיץ האחרון                    | 1 עונה          | פרק 12          | https://main2x2u.b-cdn.net/Turk/part1/Son.Yaz.2021.הקיץ.האחרון/Son.Yaz.S01E12.mp4?v=r7f3a9c2#
139    | הקיץ האחרון                    | 1 עונה          | פרק 13          | https://main2x2u.b-cdn.net/Turk/part1/Son.Yaz.2021.הקיץ.האחרון/Son.Yaz.S01E13.mp4?v=r7f3a9c2#
140    | הקיץ האחרון                    | 1 עונה          | פרק 14          | https://main2x2u.b-cdn.net/Turk/part1/Son.Yaz.2021.הקיץ.האחרון/Son.Yaz.S01E14.mp4?v=r7f3a9c2#
141    | הקיץ האחרון                    | 1 עונה          | פרק 15          | https://main2x2u.b-cdn.net/Turk/part1/Son.Yaz.2021.הקיץ.האחרון/Son.Yaz.S01E15.mp4?v=r7f3a9c2#
142    | הקיץ האחרון                    | 1 עונה          | פרק 16          | https://main2x2u.b-cdn.net/Turk/part1/Son.Yaz.2021.הקיץ.האחרון/Son.Yaz.S01E16.mp4?v=r7f3a9c2#
143    | הקיץ האחרון                    | 1 עונה          | פרק 17          | https://main2x2u.b-cdn.net/Turk/part1/Son.Yaz.2021.הקיץ.האחרון/Son.Yaz.S01E17.mp4?v=r7f3a9c2#
144    | הקיץ האחרון                    | 1 עונה          | פרק 18          | https://main2x2u.b-cdn.net/Turk/part1/Son.Yaz.2021.הקיץ.האחרון/Son.Yaz.S01E18.mp4?v=r7f3a9c2#
